wavelength,n_amorphous,n_crystalline,k_amorphous,k_crystalline
302.19577,2.23141,2.50061,1.79892,1.95134
303.78632,2.25324,2.51832,1.80539,1.9738
305.37689,2.27483,2.53601,1.81013,1.99555
306.96759,2.29624,2.5537,1.81382,2.01643
308.55829,2.31753,2.57138,1.81705,2.03631
310.14911,2.33875,2.58907,1.82035,2.05508
311.73999,2.35996,2.6068,1.82416,2.07266
313.3309,2.38119,2.62459,1.82885,2.08897
314.92194,2.40249,2.64246,1.83451,2.10414
316.513,2.4239,2.66045,1.84098,2.11845
318.10413,2.44545,2.67857,1.84813,2.13215
319.69531,2.46718,2.69684,1.85582,2.14547
321.28656,2.48913,2.71528,1.86394,2.1586
322.8779,2.51132,2.73391,1.8724,2.17175
324.4693,2.53378,2.75274,1.8811,2.18505
326.06073,2.55652,2.7718,1.88993,2.1985
327.65222,2.57951,2.79109,1.89876,2.21181
329.24377,2.60264,2.81063,1.90744,2.22467
330.83539,2.62584,2.83043,1.91586,2.23684
332.42706,2.64905,2.85051,1.92393,2.2481
334.0188,2.67218,2.87087,1.93154,2.25824
335.6106,2.69519,2.89154,1.93861,2.26709
337.20245,2.71801,2.9125,1.94509,2.27451
338.79434,2.7406,2.93379,1.95093,2.28049
340.38629,2.7629,2.9554,1.95621,2.28526
341.9783,2.78487,2.97735,1.96098,2.28908
343.57037,2.80648,2.99963,1.9653,2.29218
345.16248,2.82769,3.02227,1.96921,2.29475
346.75464,2.84846,3.04526,1.97277,2.29697
348.34683,2.86876,3.0686,1.97603,2.299
349.93909,2.88857,3.09232,1.97901,2.30097
351.5314,2.90786,3.1164,1.98176,2.30302
353.12375,2.92662,3.14086,1.98429,2.30523
354.71616,2.94481,3.1657,1.9866,2.30766
356.30862,2.96248,3.19093,1.98866,2.31036
357.90109,2.97963,3.21653,1.99046,2.31337
359.49365,2.99631,3.24253,1.99199,2.31672
361.08624,3.01253,3.26888,1.99324,2.32048
362.67886,3.02832,3.29554,1.9942,2.32466
364.27152,3.04371,3.32244,1.99487,2.32931
365.86423,3.05871,3.34953,1.99523,2.33446
367.45697,3.07335,3.37677,1.99529,2.34012
369.04977,3.08763,3.4041,1.99504,2.34634
370.64261,3.10158,3.43148,1.99448,2.35306
372.23547,3.11521,3.45887,1.99359,2.36026
373.82837,3.12854,3.48622,1.99238,2.36789
375.42133,3.14158,3.51351,1.99084,2.37592
377.01431,3.15433,3.5407,1.98897,2.38431
378.60733,3.16681,3.56775,1.98676,2.39303
380.20038,3.17903,3.59463,1.98422,2.40204
381.79346,3.191,3.62132,1.98135,2.41133
383.38657,3.20273,3.64779,1.97815,2.42085
384.97971,3.21422,3.67402,1.97463,2.43058
386.57291,3.22549,3.69998,1.97077,2.44051
388.16611,3.23653,3.72565,1.96659,2.45058
389.75934,3.24735,3.75101,1.9621,2.46074
391.35263,3.25797,3.77605,1.95727,2.47093
392.94595,3.26838,3.80075,1.95213,2.4811
394.53928,3.2786,3.82508,1.94667,2.4912
396.13263,3.28863,3.84904,1.94089,2.50118
397.72601,3.29847,3.87262,1.93478,2.51102
399.31943,3.30814,3.8958,1.92835,2.52068
400.91287,3.31764,3.91857,1.92161,2.53012
402.50632,3.32698,3.94092,1.91454,2.53933
404.09979,3.33616,3.96284,1.90715,2.54828
405.6933,3.34519,3.98433,1.89944,2.55695
407.28684,3.35407,4.00537,1.8914,2.56533
408.8804,3.36282,4.02596,1.88305,2.57341
410.47397,3.37143,4.0461,1.87441,2.58114
412.06757,3.37992,4.06577,1.86549,2.58848
413.66119,3.38828,4.08498,1.85633,2.5954
415.25479,3.39653,4.10372,1.84695,2.60186
416.84845,3.40466,4.12198,1.83737,2.60782
418.44208,3.41269,4.13977,1.82762,2.61325
420.0358,3.42063,4.15708,1.8177,2.61813
421.62949,3.42846,4.17391,1.80765,2.62242
423.22321,3.43621,4.19026,1.79748,2.62611
424.81689,3.44387,4.20613,1.7872,2.62916
426.41064,3.45144,4.22153,1.77683,2.63155
428.00439,3.45895,4.23648,1.76639,2.63327
429.59814,3.46638,4.25098,1.75589,2.63429
431.19196,3.47373,4.26506,1.74534,2.6346
432.78571,3.48101,4.27873,1.73475,2.63417
434.37949,3.4882,4.29199,1.72413,2.63302
435.9733,3.49531,4.30487,1.71346,2.6312
437.56708,3.50232,4.31737,1.70272,2.62873
439.16095,3.50923,4.32949,1.69191,2.62567
440.75473,3.51604,4.34127,1.68101,2.62206
442.34854,3.52275,4.35269,1.67001,2.61793
443.94238,3.52934,4.36376,1.6589,2.61331
445.53622,3.53582,4.37451,1.64766,2.60825
447.13007,3.54218,4.38492,1.6363,2.60278
448.72394,3.54842,4.39502,1.62479,2.59693
450.31772,3.55454,4.4048,1.61314,2.59072
451.91156,3.56054,4.41427,1.60133,2.5842
453.50543,3.56641,4.42343,1.58935,2.57738
455.09927,3.57214,4.43229,1.57721,2.5703
456.69311,3.57775,4.44086,1.56488,2.56299
458.28696,3.58323,4.44913,1.55238,2.55547
459.8808,3.58857,4.45712,1.53968,2.54777
461.47461,3.59377,4.46481,1.52679,2.5399
463.06845,3.59884,4.47222,1.51371,2.53189
464.66229,3.60376,4.47935,1.50046,2.52374
466.2561,3.60855,4.4862,1.48707,2.51546
467.84992,3.6132,4.49277,1.47354,2.50702
469.44369,3.61771,4.49906,1.45991,2.49845
471.03751,3.62207,4.50508,1.44619,2.48974
472.63129,3.62629,4.51082,1.4324,2.48088
474.2251,3.63037,4.51628,1.41856,2.47188
475.81885,3.63431,4.52146,1.40468,2.46274
477.4126,3.63811,4.52637,1.39078,2.45345
479.00635,3.64176,4.53101,1.37687,2.44401
480.6001,3.64527,4.53536,1.36297,2.43442
482.19379,3.64864,4.53944,1.34908,2.42469
483.78751,3.65186,4.54325,1.33522,2.41479
485.38119,3.65495,4.54677,1.32141,2.40475
486.97492,3.65789,4.55001,1.30765,2.39455
488.56854,3.66069,4.55298,1.29395,2.3842
490.1622,3.66336,4.55566,1.28032,2.37368
491.7558,3.66589,4.55805,1.26678,2.363
493.34943,3.66828,4.56016,1.25332,2.35216
494.94302,3.67053,4.56199,1.23996,2.34116
496.53656,3.67264,4.56353,1.2267,2.32999
498.13013,3.67461,4.56477,1.21355,2.31864
499.72363,3.67645,4.56572,1.2005,2.30709
501.31714,3.67815,4.56638,1.18755,2.29533
502.91064,3.67972,4.56675,1.17469,2.28333
504.50409,3.68114,4.56681,1.16191,2.27107
506.0975,3.68244,4.56658,1.14922,2.25855
507.69092,3.68359,4.56604,1.13661,2.24575
509.28433,3.68461,4.5652,1.12407,2.23265
510.87763,3.68548,4.56406,1.1116,2.21924
512.47101,3.68623,4.56262,1.0992,2.20552
514.06433,3.68683,4.56089,1.08687,2.19145
515.65759,3.6873,4.55888,1.07459,2.17705
517.25079,3.68763,4.5566,1.06238,2.1623
518.84399,3.68782,4.55406,1.05021,2.14718
520.43713,3.68787,4.55127,1.0381,2.1317
522.03033,3.68779,4.54823,1.02603,2.11584
523.62341,3.68757,4.54496,1.01401,2.09959
525.21649,3.6872,4.54146,1.00203,2.08296
526.80957,3.6867,4.53774,0.99009,2.06594
528.40259,3.68606,4.5338,0.97819,2.04851
529.99554,3.68528,4.52966,0.96632,2.03067
531.5885,3.68436,4.52533,0.95448,2.01243
533.1814,3.6833,4.52081,0.94267,1.99378
534.77423,3.68209,4.5161,0.93089,1.97471
536.36707,3.68075,4.51122,0.91913,1.95522
537.95984,3.67927,4.50617,0.9074,1.93531
539.55261,3.67764,4.50096,0.89568,1.91499
541.14532,3.67587,4.4956,0.884,1.89431
542.73792,3.67396,4.49008,0.87235,1.8733
544.33057,3.67191,4.48443,0.86074,1.85201
545.92316,3.66971,4.47865,0.84919,1.83048
547.51569,3.66738,4.47273,0.83769,1.80874
549.10815,3.66491,4.4667,0.82625,1.78682
550.70056,3.66231,4.46055,0.81488,1.76477
552.29303,3.6596,4.45428,0.80358,1.7426
553.88538,3.65676,4.44792,0.79236,1.72035
555.47766,3.65382,4.44146,0.78123,1.69805
557.06989,3.65077,4.4349,0.77018,1.67572
558.66211,3.64761,4.42826,0.75922,1.65338
560.25427,3.64437,4.42154,0.74837,1.63105
561.84631,3.64103,4.41474,0.73761,1.60876
563.43835,3.6376,4.40787,0.72696,1.58652
565.0304,3.63409,4.40094,0.71642,1.56435
566.62231,3.6305,4.39395,0.706,1.54228
568.21423,3.62684,4.3869,0.69569,1.5203
569.80603,3.62311,4.3798,0.68551,1.49845
571.39783,3.61932,4.37266,0.67544,1.47672
572.98956,3.61546,4.36548,0.66551,1.45514
574.58124,3.61155,4.35825,0.6557,1.43371
576.17285,3.60758,4.351,0.64603,1.41244
577.7644,3.60356,4.34373,0.63649,1.39135
579.35583,3.59949,4.33643,0.62709,1.37044
580.94733,3.59538,4.32911,0.61784,1.34972
582.5387,3.59124,4.32178,0.60872,1.3292
584.13,3.58705,4.31444,0.59976,1.30888
585.72125,3.58283,4.30709,0.59094,1.28877
587.31238,3.57858,4.29975,0.58227,1.26888
588.90356,3.57431,4.2924,0.57375,1.24921
590.49457,3.57001,4.28507,0.56539,1.22976
592.08557,3.56569,4.27774,0.55717,1.21054
593.67651,3.56135,4.27043,0.5491,1.19154
595.26739,3.55699,4.26314,0.54118,1.17275
596.85815,3.55262,4.25586,0.53339,1.15418
598.44885,3.54825,4.24862,0.52573,1.13583
600.03955,3.54386,4.2414,0.51819,1.11768
601.63013,3.53947,4.23421,0.51078,1.09974
603.22064,3.53507,4.22706,0.50349,1.082
604.8111,3.53068,4.21995,0.49631,1.06447
606.40149,3.52628,4.21288,0.48924,1.04715
607.99176,3.52189,4.20586,0.48228,1.03004
609.58197,3.51751,4.19888,0.47542,1.01312
611.17212,3.51313,4.19196,0.46865,0.99642
612.76221,3.50877,4.18509,0.46199,0.97991
614.35217,3.50441,4.17828,0.45542,0.96362
615.94214,3.50007,4.17152,0.44893,0.94753
617.53198,3.49575,4.16484,0.44253,0.93165
619.1217,3.49144,4.15822,0.43621,0.91598
620.71143,3.48716,4.15166,0.42997,0.90052
622.30109,3.48289,4.14518,0.42381,0.88528
623.89056,3.47865,4.13877,0.41772,0.87024
625.48004,3.47444,4.13244,0.41171,0.85542
627.0694,3.47025,4.12619,0.40576,0.84083
628.65869,3.46608,4.12002,0.39987,0.82644
630.24793,3.46195,4.11392,0.39405,0.81229
631.83704,3.45785,4.10791,0.3883,0.79835
633.42602,3.45378,4.10197,0.3826,0.78464
635.01501,3.44974,4.09612,0.37695,0.77116
636.60388,3.44572,4.09033,0.37136,0.75791
638.19263,3.44174,4.08462,0.36582,0.74489
639.78131,3.43779,4.07898,0.36034,0.7321
641.36993,3.43387,4.07341,0.3549,0.71956
642.95844,3.42997,4.06792,0.3495,0.70725
644.54681,3.42611,4.06249,0.34415,0.69519
646.13513,3.42227,4.05713,0.33884,0.68337
647.72345,3.41847,4.05184,0.33357,0.6718
649.31158,3.41469,4.04661,0.32834,0.66047
650.8996,3.41093,4.04145,0.32315,0.6494
652.48761,3.40721,4.03635,0.318,0.63859
654.07544,3.40351,4.03132,0.31287,0.62803
655.66321,3.39984,4.02635,0.30778,0.61773
657.25085,3.3962,4.02144,0.30272,0.60769
658.8385,3.39258,4.01659,0.2977,0.5979
660.4259,3.38899,4.01179,0.29271,0.58835
662.01331,3.38542,4.00706,0.28775,0.57905
663.60059,3.38188,4.00239,0.28283,0.56997
665.18781,3.37837,3.99777,0.27794,0.56111
666.77484,3.37488,3.9932,0.2731,0.55247
668.36188,3.37142,3.9887,0.26829,0.54403
669.94873,3.36799,3.98424,0.26352,0.5358
671.53552,3.36457,3.97984,0.25879,0.52777
673.12219,3.36119,3.97549,0.25411,0.51992
674.70874,3.35783,3.97119,0.24946,0.51226
676.29523,3.35449,3.96695,0.24486,0.50477
677.88153,3.35117,3.96275,0.2403,0.49746
679.46783,3.34788,3.9586,0.23578,0.4903
681.05395,3.34462,3.95451,0.23131,0.48331
682.64001,3.34138,3.95045,0.22689,0.47647
684.22595,3.33816,3.94645,0.2225,0.46977
685.81171,3.33497,3.9425,0.21817,0.46322
687.39746,3.3318,3.93858,0.21388,0.4568
688.98303,3.32865,3.93472,0.20964,0.45051
690.56854,3.32552,3.93089,0.20545,0.44435
692.15393,3.32242,3.92712,0.2013,0.4383
693.73914,3.31934,3.92338,0.19721,0.43237
695.32434,3.31629,3.91969,0.19316,0.42655
696.9093,3.31325,3.91603,0.18916,0.42084
698.49426,3.31024,3.91242,0.18521,0.41522
700.07904,3.30725,3.90885,0.18131,0.4097
701.6637,3.30429,3.90532,0.17746,0.40427
703.24829,3.30134,3.90183,0.17366,0.39893
704.83276,3.29842,3.89838,0.16992,0.39367
706.41711,3.29552,3.89496,0.16622,0.38848
708.00128,3.29263,3.89159,0.16257,0.38337
709.58533,3.28978,3.88825,0.15898,0.37833
711.16931,3.28694,3.88494,0.15544,0.37335
712.75317,3.28412,3.88168,0.15195,0.36844
714.33685,3.28133,3.87844,0.14851,0.36358
715.92047,3.27855,3.87524,0.14512,0.35878
717.50397,3.2758,3.87208,0.14179,0.35402
719.08728,3.27307,3.86895,0.1385,0.34931
720.67053,3.27035,3.86585,0.13528,0.34465
722.2536,3.26766,3.86279,0.1321,0.34002
723.83655,3.26499,3.85976,0.12898,0.33543
725.41937,3.26234,3.85676,0.1259,0.33088
727.00207,3.25971,3.85379,0.12289,0.32635
728.58466,3.2571,3.85085,0.11992,0.32185
730.16711,3.2545,3.84794,0.11701,0.31738
731.74945,3.25193,3.84506,0.11415,0.31292
733.33167,3.24938,3.84221,0.11134,0.30848
734.9137,3.24685,3.8394,0.10859,0.30406
736.4956,3.24433,3.8366,0.10589,0.29965
738.07739,3.24184,3.83384,0.10324,0.29525
739.65906,3.23936,3.83111,0.10065,0.29085
741.24054,3.23691,3.8284,0.09811,0.28646
742.8219,3.23447,3.82572,0.09562,0.28207
744.4032,3.23205,3.82306,0.09319,0.27769
745.98425,3.22965,3.82043,0.0908,0.2733
747.56525,3.22727,3.81783,0.08847,0.26893
749.14606,3.22491,3.81525,0.08618,0.26456
750.72668,3.22257,3.8127,0.08394,0.2602
752.30725,3.22024,3.81017,0.08175,0.25585
753.88763,3.21793,3.80766,0.07961,0.25152
755.4679,3.21564,3.80518,0.07751,0.24719
757.04797,3.21337,3.80272,0.07545,0.24288
758.62799,3.21112,3.80029,0.07344,0.23859
760.20782,3.20888,3.79788,0.07147,0.23431
761.78748,3.20666,3.79549,0.06955,0.23005
763.36707,3.20446,3.79312,0.06766,0.22581
764.94641,3.20228,3.79078,0.06581,0.22159
766.52563,3.20011,3.78845,0.06401,0.21739
768.10474,3.19796,3.78615,0.06224,0.21321
769.68366,3.19582,3.78386,0.06051,0.20906
771.26245,3.1937,3.7816,0.05882,0.20493
772.84106,3.1916,3.77936,0.05716,0.20083
774.41956,3.18951,3.77713,0.05554,0.19675
775.99793,3.18744,3.77493,0.05396,0.1927
777.57605,3.18539,3.77275,0.05241,0.18868
779.15411,3.18335,3.77058,0.05089,0.18469
780.73199,3.18133,3.76843,0.0494,0.18073
782.30969,3.17932,3.7663,0.04795,0.1768
