Gap,neff,Eavg,E2dens,VpiL
3.0E-7,2.7379570502863455-6.640243481141181E-7i,90.36572779208737,1408.336819745815,0.4267639794776868
3.2E-7,2.739255670489642-4.228575091050136E-7i,89.729277218817,1380.9527079223074,0.4324141761736457
3.4E-7,2.740563857569951-2.7038439298983726E-7i,89.10876436239614,1354.5634244954083,0.4383536274636739
3.6E-7,2.741873887989593-1.7133867765793365E-7i,88.50596388023574,1329.2717446778645,0.44457805986079807
3.8E-7,2.7431762020708677-1.0861874072449138E-7i,87.903056402814,1304.6508691306988,0.4512712230374254
4.0E-7,2.744465329174293-6.848718582440547E-8i,87.29540597919186,1280.5039290023653,0.45849099707860513
4.2E-7,2.7457312680488006-4.3002790092076846E-8i,86.68358848441783,1256.9593120656841,0.4662323678908378
4.4E-7,2.7469677382725366-2.7053285272461163E-8i,86.05376180643867,1233.5958702333492,0.47463933929791835
4.6E-7,2.748166050460496-1.6912713377944257E-8i,85.40204033166331,1210.4276718398019,0.4837458675663633
4.80E-7,2.7493184764550476-1.0589565882265628E-8i,84.72052740899913,1187.2379851448798,0.4936337663470856
5.0E-7,2.7504219641941448-6.619718843718135E-9i,84.00946811221468,1163.9833771090562,0.5043270742382734
5.2E-7,2.751468634945214-4.123753662036678E-9i,83.25988871226272,1140.5592204387776,0.515892327085057
5.4E-7,2.752453690607689-2.5727670350895912E-9i,82.46648306508682,1116.843540707219,0.5283794420728103
5.6E-7,2.753374910012073-1.6020853614074892E-9i,81.61934549985403,1092.4913025586256,0.5419536809738086
5.8E-7,2.75422764610539-9.9485149271804E-10i,80.71285104864506,1067.4743986121193,0.556637395051233
6.0E-7,2.7550113413858264-6.195626583976561E-10i,79.73687715875324,1041.4392902110558,0.5725743030073596
6.2E-7,2.7557236401931955-3.8435680855553075E-10i,78.67928449583599,1014.0904614574165,0.5899102892799407
6.4E-7,2.756364412694478-2.387392377529386E-10i,77.52799354564668,985.0145986103423,0.6087977608174423
6.6E-7,2.756934347215702-1.4790549955805652E-10i,76.25773746479148,953.3378081603634,0.629569293712911
6.8E-7,2.7574332903672705-9.18168562513479E-11i,74.83437286583872,917.6011462304267,0.6526307551112233
7.0E-7,2.757861194969592-5.687397143227919E-11i,72.90535226661034,862.3229964514168,0.6822596290042845